iter	Passed	Remaining
721	10660	4104
722	10673	4089
723	10686	4073
724	10700	4058
725	10713	4043
726	10727	4028
727	10739	4012
728	10752	3997
729	10769	3983
730	10782	3967
731	10797	3953
732	10812	3938
733	10827	3923
734	10840	3908
735	10852	3892
736	10866	3877
737	10879	3862
738	10893	3847
739	10907	3832
740	10921	3817
741	10934	3802
742	10949	3787
743	10964	3772
744	10979	3757
745	10992	3742
746	11007	3727
747	11019	3712
748	11031	3696
749	11046	3682
750	11059	3666
751	11072	3651
752	11086	3636
753	11098	3621
754	11111	3605
755	11138	3594
756	11150	3579
757	11164	3564
758	11179	3549
759	11196	3535
760	11209	3520
761	11223	3505
762	11238	3490
763	11251	3475
764	11264	3460
765	11277	3444
766	11289	3429
767	11303	3414
768	11316	3399
769	11328	3383
770	11342	3368
771	11356	3353
772	11368	3338
773	11383	3323
774	11398	3309
775	11411	3293
776	11426	3279
777	11441	3264
778	11455	3249
779	11469	3234
780	11482	3219
781	11496	3204
782	11509	3189
783	11521	3174
784	11534	3159
785	11548	3144
786	11561	3129
787	11575	3114
788	11590	3099
789	11603	3084
790	11618	3069
791	11632	3055
792	11647	3040
793	11660	3025
794	11674	3010
795	11688	2995
796	11700	2980
797	11714	2965
798	11728	2950
799	11741	2935
800	11754	2920
801	11768	2905
802	11782	2890
803	11795	2875
804	11809	2860
805	11821	2845
806	11838	2831
807	11851	2816
808	11867	2801
809	11884	2787
810	11898	2772
811	11912	2757
812	11927	2743
813	11942	2728
814	11954	2713
815	11968	2698
816	11983	2684
817	11996	2669
818	12011	2654
819	12024	2639
820	12039	2625
821	12055	2610
822	12069	2595
823	12083	2580
824	12096	2566
825	12110	2551
826	12125	2536
827	12139	2521
828	12153	2506
829	12165	2491
830	12180	2477
831	12194	2462
832	12207	2447
833	12221	2432
834	12235	2417
835	12248	2402
836	12262	2388
837	12279	2373
838	12293	2359
839	12307	2344
840	12321	2329
841	12334	2314
842	12348	2299
843	12361	2284
844	12377	2270
845	12391	2255
846	12405	2240
847	12419	2226
848	12432	2211
849	12445	2196
850	12459	2181
851	12473	2166
852	12488	2152
853	12501	2137
854	12514	2122
855	12528	2107
856	12541	2092
857	12555	2077
858	12567	2062
859	12580	2047
860	12594	2033
